Project name,Project status,Job title,Job view,Job clicks and applies,Job view to apply rate,Completed applications,Moved into Review stage,Remained in Review stage,Candidate activity in Review stage,In review conversion rate,Average time in Review stage,Moved into Contacted stage,Remained in Contacted stage,Candidate activity in Contacted stage,Average time in Contacted stage,Contacted conversion rate,Moved into Replied stage,Remained in Replied stage,Candidate activity in Replied stage,Average time in Replied stage,Replied conversion rate
Rafael - Medical Director - Clinical Development Lead - Oncology (GI/PANCREATIC),ACTIVE,Director Clinical Development,61,0,16,10,1,5,7,0,8,0,0,0,0,0,0,0,0,0,0
Millbrook Commissioning Engineer,ACTIVE,Commissioning Engineer,53,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Security Specialist,ACTIVE,Cyber Security Specialist,352,0,32,113,38,0,38,0.92,0,0,0,0,0,0,0,0,0,0,0
IAM Belgium,ACTIVE,Project Manager / Consultant - IAM,214,0,23,50,70,0,70,0.94,0,0,0,0,0,0,0,0,0,0,0
Director Clinical Development,ACTIVE,Director Clinical Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior React Native,ACTIVE,Lead React Native Engineer,50,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Development,ACTIVE,Clinical Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Executive Medical Director - Clinical Development Lead - Oncology,CLOSED,Executive Medical Director - Clinical Development Lead - Oncology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director Clinical Development,CLOSED,Director Clinical Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNRG - Head of Procurement ,ACTIVE,Head Of Procurement,475,0,19,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMS CTP - Director Clinical Development,ACTIVE,Director Clinical Development,67,0,21,14,177,13,199,0.68,0,0,0,0,0,0,0,0,0,0,0
"Medical Director, Clinical Development – Boston",CLOSED,"Medical Director, Clinical Development – Boston",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
